Entity	Year	Annual COâ‚‚ emissions (per capita)
Afghanistan	2022	29536375
Africa	2022	99422127
Albania	2022	17432004
Algeria	2022	39272263
Andorra	2022	46171236
Angola	2022	45155162
Anguilla	2022	8752724
Antigua and Barbuda	2022	64218745
Argentina	2022	42378173
Armenia	2022	23045583
Aruba	2022	8133404
Asia	2022	4611434
Asia (excl. China and India)	2022	4017375
Australia	2022	14985412
Austria	2022	68781943
Azerbaijan	2022	36746833
Bahamas	2022	51708703
Bahrain	2022	25672274
Bangladesh	2022	5964455
Barbados	2022	43772573
Belarus	2022	61669006
Belgium	2022	76875386
Belize	2022	17894346
Benin	2022	631487
Bermuda	2022	69370627
Bhutan	2022	13489918
Bolivia	2022	17583066
Bonaire Sint Eustatius and Saba	2022	4083284
Bosnia and Herzegovina	2022	61034565
Botswana	2022	2838951
Brazil	2022	22454574
British Virgin Islands	2022	50039577
Brunei	2022	23950201
Bulgaria	2022	68044534
Burkina Faso	2022	26295447
Burundi	2022	6194545
Cambodia	2022	11900775
Cameroon	2022	34292704
Canada	2022	14249212
Cape Verde	2022	9588915
Central African Republic	2022	40548485
Chad	2022	13367727
Chile	2022	43041654
China	2022	7992761
Colombia	2022	19223082
Comoros	2022	49327007
Congo	2022	12447897
Cook Islands	2022	39950094
Costa Rica	2022	15226681
Cote d'Ivoire	2022	41668788
Croatia	2022	4348515
Cuba	2022	18659163
Curacao	2022	9189007
Cyprus	2022	5616782
Czechia	2022	93357525
Democratic Republic of Congo	2022	36375992
Denmark	2022	4940161
Djibouti	2022	40418932
Dominica	2022	21058853
Dominican Republic	2022	21051137
East Timor	2022	49869007
Ecuador	2022	23117273
Egypt	2022	2333106
El Salvador	2022	12174718
Equatorial Guinea	2022	30307202
Eritrea	2022	18914719
Estonia	2022	777628
Eswatini	2022	10527312
Ethiopia	2022	15458965
Europe	2022	68578663
Europe (excl. EU-27)	2022	7886797
Europe (excl. EU-28)	2022	8817789
European Union (27)	2022	61743994
European Union (28)	2022	5983708
Faroe Islands	2022	14084624
Fiji	2022	11550449
Finland	2022	65267396
France	2022	4603891
French Polynesia	2022	28509297
Gabon	2022	23882635
Gambia	2022	2847278
Georgia	2022	2962545
Germany	2022	79837584
Ghana	2022	6215505
Greece	2022	57451057
Greenland	2022	10473997
Grenada	2022	27133646
Guatemala	2022	10756185
Guinea	2022	35742033
Guinea-Bissau	2022	15518051
Guyana	2022	43736935
Haiti	2022	21119381
High-income countries	2022	10132565
Honduras	2022	10696708
Hong Kong	2022	4081913
Hungary	2022	4449911
Iceland	2022	9499798
India	2022	19966822
Indonesia	2022	26456614
Iran	2022	77993317
Iraq	2022	4024638
Ireland	2022	77211185
Israel	2022	6208912
Italy	2022	5726825
Jamaica	2022	22945588
Japan	2022	8501681
Jordan	2022	20301995
Kazakhstan	2022	13979704
Kenya	2022	45998666
Kiribati	2022	5184742
Kosovo	2022	4830646
Kuwait	2022	25578102
Kyrgyzstan	2022	14251612
Laos	2022	30803475
Latvia	2022	3561689
Lebanon	2022	43543963
Lesotho	2022	13594668
Liberia	2022	1653753
Libya	2022	9242238
Liechtenstein	2022	38097827
Lithuania	2022	4606163
Low-income countries	2022	28005043
Lower-middle-income countries	2022	1777996
Luxembourg	2022	11618432
Macao	2022	15127679
Madagascar	2022	14871116
Malawi	2022	10262384
Malaysia	2022	8576508
Maldives	2022	32475724
Mali	2022	31153768
Malta	2022	31035979
Marshall Islands	2022	36353714
Mauritania	2022	957337
Mauritius	2022	32697906
Mexico	2022	40153365
Micronesia (country)	2022	13243006
Moldova	2022	16565942
Mongolia	2022	11150772
Montenegro	2022	36558185
Montserrat	2022	48447766
Morocco	2022	18263615
Mozambique	2022	24274588
Myanmar	2022	6445672
Namibia	2022	15399038
Nauru	2022	41700416
Nepal	2022	5074035
Netherlands	2022	71372175
New Caledonia	2022	17641167
New Zealand	2022	6212154
Nicaragua	2022	79879653
Niger	2022	116688
Nigeria	2022	5891771
Niue	2022	38729508
North America	2022	105346775
North America (excl. USA)	2022	4741475
North Korea	2022	19513915
North Macedonia	2022	36245701
Norway	2022	75093055
Oceania	2022	985179
Oman	2022	15730261
Pakistan	2022	84893465
Palau	2022	12123921
Palestine	2022	6660658
Panama	2022	2699258
Papua New Guinea	2022	77131313
Paraguay	2022	13299496
Peru	2022	17891879
Philippines	2022	13014648
Poland	2022	8106886
Portugal	2022	4050785
Qatar	2022	37601273
Romania	2022	3739777
Russia	2022	11416899
Rwanda	2022	112346195
Saint Helena	2022	32986484
Saint Kitts and Nevis	2022	4708081
Saint Lucia	2022	26149206
Saint Pierre and Miquelon	2022	10293288
Saint Vincent and the Grenadines	2022	22964725
Samoa	2022	11218625
Sao Tome and Principe	2022	5816142
Saudi Arabia	2022	18197495
Senegal	2022	6738352
Serbia	2022	6024712
Seychelles	2022	61495123
Sierra Leone	2022	13124847
Singapore	2022	8911513
Sint Maarten (Dutch part)	2022	14352394
Slovakia	2022	6051555
Slovenia	2022	59979916
Solomon Islands	2022	41232163
Somalia	2022	3676208
South Africa	2022	67461643
South America	2022	24865332
South Korea	2022	11598764
